id,split,wall_num,total_length,best_frame_deg,mean_residual_deg,max_residual_deg,max_adjacent_deviation_deg,non90_corner_count,atlanta_candidate,reason
1LXtFkjw3qL_74bbacaafe014759bb9a6cc694d72516,train,6,17.179940,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_74d5b2290be74a1ba052b6fe2320e064,train,6,11.272084,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_7b99fad7a2b243dea6b50dc65d03fbc7,train,4,9.593706,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_a55a46bc13e743ca8626a97ac056b8f3,train,10,31.033928,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_ad2772104c144a579f0a43503cb4c86b,train,4,17.691058,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_b0299947a912497ba3e1c8f80181f408,train,6,25.173793,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_c3b46ef0552142a6b62a45cd30f26de8,train,4,19.604107,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_ca38c3e0cbcf4a4992d79889e5793cb7,train,4,18.834476,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_d5839b78130944da925af878f4e64970,train,6,17.817295,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_d83a8f5db61b4b78afc1c1d855b4c8b9,train,4,20.654622,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_d962509cdba64e6ca76a6228582eb901,train,12,46.007826,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_dba514ffecec43bdb0a247cd898d224b,train,4,20.882186,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_e5c5d8fa1ad94d97bcdb74e69e938ea0,train,8,36.808928,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_f3d9a22621e14992b8b3fb9776f0395b,train,10,22.685816,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_0f42320ef887416fb8ed9b91b6641cfc,train,4,26.377649,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_12a0b0641a9a4794bb49bbcf13cea981,train,4,29.062500,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_1407cf2da95e4f73951798295db82ab6,train,4,45.191314,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_148a81e548314c67b6f5f226601a27de,train,4,8.443981,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_1eae38cbbaf744f99de90c99d8c013f1,train,4,44.032221,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_2f3e7d98347047829630f0114694a532,train,4,17.268883,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_31ae672c4fda4ce29add4798d07ce3b1,train,4,28.259066,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_33f72d3f5ada42d09785a13fe1ff804f,train,4,5.649626,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_3ecb492d5019411785bab293ff4f74ee,train,4,21.476599,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_49b4f59afc74417d846ad8cf1634e3d8,train,8,10.851952,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_4cf4c84ed4ae48b2b4076fb0e742d5f1,train,4,26.062247,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_4f07d9e99e084876b0765220888d2545,train,4,24.627675,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_54e13e385fac4638b050f5c73095ecdb,train,4,30.745521,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_57e88eaa7e2f49258f247aa79bd2368c,train,4,32.285100,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_7c9717fb9297481bad3a5cc351f4fddf,train,4,29.838763,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_7d887c096fa64a81a02723f8c283ca16,train,10,15.748953,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_7e1850bf73f24a7f9ab824a82143e1b6,train,6,17.647357,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_7efbe13d514b4797b540aecffe79aa03,train,8,24.759647,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_834865d0e74042d38b796ded2488d64c,train,6,29.654574,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_a55dab7d921b47d59b1391d69fa7e464,train,6,12.213555,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_a8ae1f18502e4a6aa301af029f976f5f,train,6,31.032432,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_cc896d0984cc4661bff9087a0df6967c,train,10,36.711974,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_cce150ca22c249d2918ac9d0ee8689e6,train,4,17.852325,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_cf7c2bd80f934238aede140bb9bd1284,train,4,25.933719,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_dbec0f4e228c44cda1f991905404541c,train,4,21.334887,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_df9d294a3f8849f6ab267f658847f700,train,4,17.993122,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_ee260af3263a4eccb2922c2dcf1b4606,train,4,31.882406,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_f4d601b86e624ad2a8d77280f36c7872,train,4,20.625670,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_f6af6b4247ea4353b90f8bce6e05f58a,train,10,41.529488,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_f6cbc0517fc14f129f5456e59dc66c76,train,4,32.045715,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1pXnuDYAj8r_fcbd96fa9e054e8298ab129371fa5c00,train,4,10.772076,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_19e2dbc6c2ed4a04b285ae9ec83bfeb1,train,6,9.574077,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_1dbf4725d8054e37b42fafae2e9d2fb2,train,4,10.865778,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_2429542ef17c46bf937227318022ebcc,train,4,9.667794,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_252b3d388cde465f8e28dbf66b0f9b15,train,8,14.621127,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_26dcc104db41485d96549dcf2e48a307,train,8,13.730822,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_2d28fa8831e04fcfa7e0e0fced1e9886,train,4,17.377329,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_499d247ee57b40c793ed54b50c8fb408,train,4,15.082224,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_4cc8ffa4a220460f974971ef2da47296,train,4,16.709014,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_4dbaf3f1a80b401dad9fc7a8bcb297d4,train,4,21.614170,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_52280dcf1af54cd9806e8574f13468b3,train,4,10.002723,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_59136bd254af4972a365657696357739,train,6,13.672614,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_7c2397fff7984480aa24da7b7990d375,train,4,17.939260,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_7d6ee8e26a434fde89597d09d92643b3,train,8,15.280483,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_836e4c8c66a445559938e556fbf2dcba,train,6,10.975144,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_9078e2b999da46ffa741a3a2a954432a,train,4,11.254745,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_a1c0980fcdd94ab7843fe9762e25aee6,train,4,10.327577,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_ac3dc08c7a2646b991fda42ccc42bc47,train,4,18.965871,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_b1843cc513fc4180a57efa7b81b64da9,train,10,16.574170,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_b446fc62fe5945e9ae974f69ddff4a73,train,6,13.390334,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_bbf276ac29704bc18fb76eb278555ac3,train,4,10.508484,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_c7514b33a67f4d8e95571db30e4f69e2,train,4,18.671334,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_c757b3ad24ed4706bc84645a8e748bee,train,6,17.870321,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_d5d55adb422942ee92a5f92bbbf5bb03,train,8,14.758419,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_e229a67787414f3386b26464ceebe198,train,8,8.021742,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_e485b7b35cc14fdfa16fddf174055a68,train,4,8.815969,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2azQ1b91cZZ_ffc16df830484bdf97716d0858568965,train,4,12.779244,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_0fc9937d10d249b8b34264cd53cbba5a,train,4,17.543280,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_189dec4e48fa459bac9d81fd3a7f4c75,train,4,30.456608,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_1c598b0601734b5da0ae03b359079dca,train,4,24.060697,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_1f8182156ccd41f39c552ac05ab24877,train,4,16.810226,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_2af2b0defe79482baab06801cd97d145,train,4,30.677410,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_2d21aec2e48b4797ad0367e96fd316f4,train,4,31.157686,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_3769d27ee6f8462e815e9ebdc33af7e8,train,4,30.927473,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_3f0be3965cde46ad87538ca4f3e1d271,train,6,28.367001,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_4518d285d4c54195a70ba5c4697ba3f2,train,4,31.570655,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_47e9ed95d9c740248ad1c6fa1352528e,train,4,16.281075,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_4b7c3faa94b34318bc00523ec9b9c6a3,train,4,25.619839,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_4cc28f0811834f66a8b759b463fa7f9c,train,8,17.443290,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_5b49c14344d243b1a4844b19dfdeb37e,train,8,13.695459,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_5b4f88b00af3413eb8a3706a62a761e1,train,4,37.400597,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_5b951c3db95148eb8fb7963165f14e8f,train,6,42.323681,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_5daf3f2129314524a490400d1091d053,train,4,15.645706,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_5dd7a3de3253441aaae37190170b930a,train,4,29.307469,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_5eedd74c2a86462dafb8031559666b15,train,10,41.254741,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_5ef768195c0f4973b27ce733461a1752,train,10,14.690550,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_5fa450a5199b41b5b46628e473f20374,train,4,25.600271,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_5fe2bfd9fc5f428aa50bea21cdea0124,train,4,26.848211,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_6274ee399dac4c5fb61f8198069b490e,train,4,26.587677,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_69a31cef77324a89bd8e595fdb84792d,train,4,17.398028,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_69d83243a72046d2bf1f772be52d649a,train,4,16.475612,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_6a54ccfac0bc4ffb9fc980f0f5c0f377,train,4,29.111157,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_7cbf8c7b17d542dbb76bb9951fffddfe,train,4,19.342327,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_91735b09a0a14b168c3a12913e9d4127,train,4,17.128437,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_93d8bda24efa4269856f731192146f87,train,4,16.289800,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_95e1626bac56461ea0526327c3719a34,train,4,17.208193,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_985ca122092f4429850c195ded765891,train,4,30.821912,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_99e8e537635a4523824294946d99093b,train,6,13.576375,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_9c36a2928f3d436181736d628dd0a694,train,4,18.651250,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_9c4a59f437744d9c9b91e936def4b540,train,4,18.125000,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_9d733afabb2a4032a0ac602536bb649e,train,4,32.656250,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_a922c831c63344fe8e3e021e6e877c1f,train,4,31.795296,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_a92ada1b9db2420ca7e1b55d372f8ffa,train,10,30.570997,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_aadc2f85a2a742d7ba9a388dd6f4c9cf,train,4,37.108900,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_ae6753634fdb45d4aba7bd2973273c17,train,4,39.893259,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_b0f6f80b42c34013bc421fc2c0d9a180,train,4,16.706747,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_b1265fece0604be79853a0ce270d7c45,train,4,29.860373,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_be33b5863e3741deaecd29febfc5eafa,train,4,29.468208,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_c897ee33e7bd4d36a122867a2800c9b4,train,6,16.620631,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_cf2a6c0c56ed4b63b9be162272e3235f,train,4,4.852878,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_cfcc491fc7f541cd81c2e6c47bae5c91,train,4,9.716904,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_d3fe9b9d86ca47ee9745a01d04dc8723,train,4,26.488119,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_d5f3da3f2bdc4b028c1fe1a2362c7588,train,4,35.389058,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_d86710102df44f0083553f7e356e18ea,train,10,36.527388,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_dac4509f882848258838272f16d18302,train,10,31.761131,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_ddd527993ada4e1c8d0c62fdfb33f8db,train,4,22.732593,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_e0b2917ecb6d4e31846957451348f80a,train,6,21.673021,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_e8aa13c470d94855a3e01e461bd93c1d,train,14,20.247689,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_ea42c4694c05490eb7ae29590321e1a3,train,6,18.063399,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_f30b071074d646d3aa06d1409faa7d5f,train,4,15.660277,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_f458d42cbdb94ffabc06c580207d7a3d,train,4,14.445761,0.000,0.000,0.000,0.000,0,0,Manhattan-like
2n8kARJN3HM_ffacc18a27644508a6e4223823a0e2a4,train,6,20.071036,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_0d31b7f9341e40c9ab508eb53168dfde,train,6,39.382100,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_0f5c56e60cbf429eb30903125c3035b6,train,4,15.916239,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_11cbdd2fbbbd439fb12def19ceaba67a,train,4,19.516151,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_14e4d7d9e58042a085685ceedb7f23da,train,4,8.042629,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_1d47ba7d0b094cee93aad6322445fd4b,train,6,25.347759,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_1f82c88d356249708e9b46448be7034a,train,8,53.303210,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_1f9c76967f3b46ec87c1c58a86094a58,train,4,19.898350,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_20216703be7341b89b57ea2165e6a9bb,train,12,45.334933,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_2f59933fa37143049c27c412c3133c55,train,4,10.300482,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_35a21f771ab04beb822d7262329d194e,train,4,20.232250,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_3a57f8d8b7f245928a1b5529333ae474,train,4,10.029948,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_3a9381248af24e2795095eda5bee2270,train,6,21.469665,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_401c33266eca4b04be4f4f3cc3b1cfe6,train,4,19.469806,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_432fbb4e9d7c47698c5f204563bc9dda,train,4,11.707128,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_459819a39f89447ab8dd531fa38f0c3e,train,8,17.005999,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_4e928c0ff7504619b7c308a354c78f5f,train,10,30.920371,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_54e82ba8203948fe89d10ad1a7e562d4,train,10,31.529758,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_67635a89fb324efcb365622f6b521e1e,train,4,19.228509,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_69da3742bce54199a1f2a49ecabf8618,train,6,25.322319,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_6e58a7a5583847d7be281fc41b86c94b,train,8,58.878689,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_83108d9e987b45c484362f5cda5b1bd1,train,6,25.993204,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_844cdb7f525b4a0491283657748f8d9e,train,4,20.377709,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_85b4d3014af0457e9bb0827ea6e18925,train,6,22.766935,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_89e86606acae450e99ab412da3e1defd,train,8,21.859128,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_92b53ec4323443c1a4f64e6722f0e8f1,train,8,19.073917,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_9638fb3433444ff2b5c1a0ec5078c1c1,train,4,18.919125,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_9a7dbaeae4f049f09e3e7472d11e796e,train,6,45.520162,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_a56597b1c6b54d58853ddf7a3679064d,train,10,54.631568,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_a7a41dd2adbf4a69a12d49254f8a14e5,train,8,24.196896,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_b7edc2ba5dfb4efca54cae50b9d40b27,train,4,19.787210,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_b7f6e59a538545ae851c5b92e723d3e9,train,4,19.696831,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_c1e3263cef454a859206fd408421552a,train,4,12.036250,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_c20fd38e5d47436ab69c8d4589435089,train,4,19.643890,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_c637b66b6f804617962f0f9e2f2c0341,train,4,19.269656,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_ccabfad5dfcd47cd821e57a15a58d55c,train,6,23.181489,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_cdecf77c381d4468a4aae22ddd6a1202,train,8,19.110038,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_d0b8e8e2ffa645f39d418a32c6cfb695,train,4,19.883664,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_d8b984d439ea4b09928f11d867f661cb,train,6,22.628122,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_f106c5744f8e444d931ed9bdd12ee3aa,train,4,17.815036,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_f1426ef89da84f05bf939918945f71aa,train,6,20.627324,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5LpN3gDmAk7_f9d2ac8282aa4f5b9a65222b651fea6c,train,4,19.609315,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_09683cec667549f1afc687826e0fa591,train,4,10.469323,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_135cc40f8f2e490d821997645f8c0ea2,train,4,13.632215,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_1bac6a1331314afd8820b93acc28c397,train,4,27.636132,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_1e6520e3cc06443cb3a54ab6461064b6,train,6,16.313055,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_33c12ee1d66445ecb6e12d0102f3f18e,train,8,15.450531,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_34557b20f94f4e70b7604ab749d44d61,train,4,6.706008,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_35f5b361dca240ef8effcee3a2d02b68,train,6,23.514705,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_41e93c57be774f0f8d4389a19eeb4cd5,train,10,40.223116,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_54b7c9b192714638ac7b01b4a5400d29,train,8,17.437726,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_55f7034ab98a4a199a61a419816cce72,train,4,4.971544,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_60b55d27122e4294909e57e343f73648,train,4,12.467473,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_613e475cf67c48c895c9a786f82a318f,train,8,37.012309,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_62f51d216eb54448a59812c9d3f6516f,train,4,28.364377,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_649e4e9d6c484e3baacc5ba1ae1073f5,train,8,25.074850,0.000,0.000,0.000,0.000,0,0,Manhattan-like
5ZKStnWn8Zo_65d4a26be97b4519ae11c4c65aece4c5,train,6,16.388409,0.000,0.000,0.000,0.000,0,0,Manhattan-like
